(-9.384429,-3.000000,-5.874769)
(-0.387001,-3.000000,2.266751)
(-9.384429,-3.000000,2.530887)
(13.792155,-3.000000,-5.935532)
(-0.265527,-3.000000,-1.705206)
(7.052201,-3.000000,-1.705206)
(7.052201,-3.000000,-5.774936)
(9.094763,-3.000000,2.362985)
(13.735240,-3.000000,2.372985)
(-0.424607,-3.000000,-6.724556)
(7.565214,-10.431357,-19.568193)
(-7.286680,-8.196342,-6.714556)
(-7.286680,-8.196342,-7.783304)
(5.599578,-10.832657,-7.208417)
(-4.140369,-13.361548,3.484086)
(14.790999,-10.723635,-7.010571)
(-17.387838,-10.807251,-1.613317)
(-2.345470,-10.431357,-8.633798)
(-2.628512,-10.527458,-11.958324)
(-10.871367,-10.516815,-8.787420)
(-4.140369,-13.361548,-11.958324)
(13.996055,-10.780528,-10.190986)
(9.169969,-10.807251,-6.811681)
(-16.401348,-10.807251,58.381878)
(10.945157,-10.807251,-1.603317)
(5.749515,-10.807251,3.854169)
(0.943092,-10.807251,-1.583114)
(-5.006036,-10.807251,3.544121)
(-4.805769,-10.807251,-1.593317)
(-17.521633,-10.778412,5.153981)
(0.611962,-10.807251,3.554121)
(-1.562138,-10.527458,-17.950575)
(-5.485825,-10.527458,-11.938324)
(-8.320233,-10.527458,-17.940575)
(-10.307930,-10.802399,-1.603317)
(-19.001951,-10.778412,25.392944)
(11.372872,-10.807251,3.579266)
(25.123749,-10.807251,28.940786)
(12.920175,-10.807251,15.979724)
(14.030031,-10.807251,25.267202)
(12.919129,-10.744219,31.592422)
(9.220400,-10.807251,54.810162)
(-1.218056,-10.807251,54.733498)
(-10.588698,-10.778412,3.491482)
(-5.857119,-10.778412,14.412111)
(-5.857119,-10.778412,23.700762)
(8.128025,-3.000000,29.152229)
(-11.780576,-10.778412,26.411140)
(-19.001951,-10.778412,21.920496)
(-5.857119,-10.778412,30.963467)
(-5.857119,-10.778412,34.623455)
(-18.649443,-10.778412,34.623455)
(4.228991,-10.778412,45.327335)
(-18.513819,-10.778412,38.338657)
(-15.422628,-3.000000,51.392471)
(-18.649443,-10.778412,44.073631)
(-13.179173,-10.778412,45.835072)
(-13.179173,-10.778412,48.352577)
(4.228991,-10.778412,48.352577)
(9.557091,-10.727132,16.377251)
(-9.816383,-3.000000,26.884350)
(-13.980169,-5.930580,26.884350)
(-6.283168,-5.303295,13.462876)
(-6.110893,-3.000000,16.662949)
(0.739615,-3.000000,16.262968)
(-3.424599,-3.000000,18.480473)
(7.877182,-3.000000,13.210962)
(7.877182,-3.000000,18.480936)
(0.018619,-3.000000,17.899355)
(-5.873205,-3.000000,31.410254)
(-3.594930,-3.000000,28.989807)
(0.499382,-3.000000,29.551571)
(9.557091,-10.727132,31.388929)
(9.557091,-10.727132,29.456652)
(9.557091,-10.727132,18.018217)
(-9.196589,-3.000000,40.107693)
(-6.073860,-3.000000,45.743824)
(-1.778831,-3.000000,53.628086)
(-13.761334,-3.000000,54.116982)
(-13.545714,-10.744940,58.506901)
(-6.073860,-3.000000,49.293388)
(-13.761334,-3.000000,56.515659)
(-8.663848,-8.083244,56.515659)
(-8.663848,-8.083244,57.567818)
(-13.491665,-10.292092,57.440659)
(0.499382,-3.000000,31.398930)
(-6.968679,-10.807251,58.765938)
(14.030031,-10.807251,37.260891)
(13.996055,-10.780528,-10.180985)
(-2.362785,-10.431357,-7.773304)
(0.917221,-10.832657,-7.773304)
(5.749515,-10.807251,-1.593317)
(13.048886,-10.807251,13.733620)
(25.123749,-10.807251,22.139952)
(-18.513819,-10.778412,41.573639)
