(-9.384429,-6.441395,-5.874769)
(-2.568048,-6.412772,-5.663049)
(-0.387001,-6.441395,2.266751)
(-5.930190,-6.441395,2.530887)
(-9.384429,-6.441395,2.530887)
(13.792155,-6.435296,-5.935532)
(-0.265527,-6.435296,-1.705206)
(7.052201,-6.435296,-1.705206)
(7.052201,-6.435296,-5.774936)
(9.094763,-6.464597,2.362985)
(13.735240,-6.464597,2.372985)
(-0.424607,-6.441395,-6.724556)
(7.565214,-10.431357,-19.568193)
(-2.568048,-6.190078,-6.714556)
(-7.286680,-8.196342,-6.714556)
(-7.286680,-8.196342,-7.783304)
(-2.350239,-10.431357,-7.783304)
(-4.140369,-13.361548,3.484086)
(14.790999,-10.723635,-7.010571)
(-17.387838,-10.807251,-1.613317)
(-2.345470,-10.431357,-8.633798)
(-2.628512,-10.527458,-11.958324)
(-10.871367,-10.527458,-8.787420)
(-4.140369,-13.361548,-11.958324)
(13.996055,-10.780528,-10.190986)
(9.169969,-10.807251,-6.811681)
(-16.401348,-10.807251,58.381878)
(10.945157,-10.807251,-1.603317)
(5.749515,-10.807251,-1.603317)
(0.943092,-10.807251,-1.603317)
(-5.006036,-10.807251,3.544121)
(-4.805769,-10.807251,-1.593317)
(-17.521633,-10.778412,5.153981)
(0.611962,-10.807251,3.554121)
(-1.562138,-10.527458,-17.950575)
(-5.485825,-10.527458,-11.938324)
(-8.320233,-10.527458,-17.940575)
(-10.307930,-10.807251,-1.603317)
(-10.588698,-10.778412,3.456335)
(11.372872,-10.807251,3.579266)
(13.048886,-10.807251,13.723619)
(12.920175,-10.807251,15.979724)
(14.030031,-10.807251,25.267202)
(14.030031,-10.807251,37.250893)
(9.220400,-10.807251,54.825237)
(-6.968679,-10.807251,58.755939)
